id_1,float_1,float_2,category_1,category_2,bool_1,timestamp_1,string_1
0,0.6369616873214543,0.6859482241160948,category_95,category_13,True,2000-01-01,label_187
1,0.2697867137638703,0.26975328579147195,category_1381,category_8,True,2000-01-02,label_93
2,0.04097352393619469,0.057979497250737144,category_6761,category_14,False,2000-01-03,label_173
3,0.016527635528529094,0.03481555098915534,category_2457,category_3,True,2000-01-04,label_5
4,0.8132702392002724,0.9884266988006946,category_4726,category_7,True,2000-01-05,label_35
5,0.9127555772777217,0.6023890900342956,category_6474,category_12,False,2000-01-06,label_117
6,0.6066357757671799,0.18245118221888967,category_1084,category_3,False,2000-01-07,label_118
7,0.7294965609839984,0.5091256536780445,category_5037,category_12,False,2000-01-08,label_181
8,0.5436249914654229,0.1603048144201873,category_4549,category_12,True,2000-01-09,label_191
9,0.9350724237877682,0.6892574375605899,category_6238,category_20,False,2000-01-10,label_148
10,0.8158535541215322,0.1662336168138251,category_6003,category_4,False,2000-01-11,label_144
11,0.002738500170148095,0.5718719212743716,category_2486,category_16,True,2000-01-12,label_130
12,0.8574042765875693,0.6191835215179581,category_7312,category_18,False,2000-01-13,label_35
13,0.033585575305464355,0.9488866353194596,category_3923,category_11,True,2000-01-14,label_185
14,0.7296554464299441,0.43895454279956514,category_6540,category_3,True,2000-01-15,label_134
15,0.17565562060255901,0.9397392612366443,category_3828,category_20,False,2000-01-16,label_180
16,0.8631789223498866,0.000978637213899125,category_7175,category_9,False,2000-01-17,label_17
17,0.5414612202490917,0.8561404663476341,category_3069,category_2,True,2000-01-18,label_76
18,0.2997118905373848,0.7038936737469016,category_7225,category_20,True,2000-01-19,label_24
19,0.42268722119765845,0.3460042802399794,category_4990,category_6,False,2000-01-20,label_170
20,0.028319671145462966,0.7769116349813355,category_471,category_19,True,2000-01-21,label_190
21,0.12428327649956394,0.9821884144128078,category_4956,category_5,True,2000-01-22,label_176
22,0.6706244146936303,0.4595417837002336,category_1777,category_8,False,2000-01-23,label_77
23,0.6471895115742501,0.2794828320730013,category_1018,category_5,False,2000-01-24,label_50
24,0.6153851114812539,0.7487415863534288,category_3189,category_19,True,2000-01-25,label_6
25,,0.03525025959328576,category_286,category_20,True,2000-01-26,label_135
26,0.997209935789211,0.8366053350731473,category_5083,category_11,True,2000-01-27,label_53
